"","cliente","fecha","pago","id_sucursal","hora"
"326",86,2017-12-09,0,5,11
"327",36,2017-11-29,0,5,11
"328",119,2018-08-02,0,5,10
"329",37,2017-07-12,0,5,16
"330",51,2018-03-18,0,5,11
"331",2,2018-05-16,0,5,16
"332",86,2017-12-30,0,5,12
"333",11,2018-11-22,0,5,12
"334",55,2018-04-27,0,5,10
"335",41,2018-08-20,0,5,14
"336",137,2017-10-09,0,5,11
"337",134,2018-08-23,0,5,13
"338",107,2017-12-10,0,5,13
"339",78,2017-09-19,0,5,11
"340",31,2017-08-14,0,5,13
"341",138,2018-02-02,0,5,13
"342",63,2018-01-22,1000,5,14
"343",139,2018-11-20,0,5,11
"344",97,2018-07-12,0,5,12
"345",103,2018-11-05,200,5,14
"346",11,2018-06-19,0,5,11
"347",15,2018-07-17,0,5,11
"348",140,2018-09-24,0,5,15
"349",34,2018-12-02,0,5,13
"350",65,2017-09-11,0,5,18
"351",34,2018-07-09,0,5,11
"352",9,2018-12-17,0,5,12
"353",141,2017-10-16,0,5,11
"354",137,2018-11-08,0,5,12
"355",12,2018-10-22,0,5,16
"356",142,2017-11-22,0,5,16
"357",42,2018-06-23,0,5,11
"358",143,2017-12-14,0,5,9
"359",144,2018-06-03,1276,5,12
"360",145,2018-07-09,0,5,11
"361",137,2018-09-04,0,5,16
"362",146,2018-12-24,0,5,12
"363",34,2018-09-27,0,5,12
"364",147,2018-04-25,0,5,10
"365",130,2017-07-31,500,5,13
"366",9,2018-05-14,0,5,15
"367",12,2018-05-17,0,5,16
"368",12,2018-09-05,0,5,16
"369",40,2017-10-18,0,5,14
"370",21,2018-08-23,0,5,16
"371",9,2018-04-05,0,5,13
"372",79,2018-04-24,0,5,12
"373",65,2017-11-13,0,5,13
"374",150,2017-08-29,0,5,11
"375",36,2017-12-06,0,5,13
"376",151,2018-09-10,0,5,11
"377",9,2018-05-15,0,5,15
"378",15,2018-05-24,0,5,11
"379",15,2018-06-20,0,5,16
"380",27,2018-01-12,0,5,11
"381",40,2018-08-09,0,5,16
"382",152,2018-05-08,0,5,11
"383",65,2017-08-04,0,5,16
"384",153,2018-09-05,0,5,11
"385",11,2017-10-31,0,5,10
"386",120,2018-02-17,0,5,10
"387",65,2017-08-11,0,5,16
"388",27,2017-09-24,0,5,16
"389",155,2018-01-07,1152.64,5,17
"390",34,2018-07-25,0,5,10
"391",102,2018-04-11,0,5,10
"392",41,2018-02-13,0,5,11
"393",15,2018-12-21,0,5,15
"394",103,2018-11-13,0,5,14
"395",11,2018-08-05,0,5,10
"396",159,2018-03-30,0,5,13
"397",151,2018-07-05,0,5,16
"398",151,2018-03-23,0,5,15
"399",21,2018-12-09,0,5,12
"400",15,2018-12-23,0,5,15
"401",152,2017-10-28,0,5,12
"402",14,2017-07-20,0,5,16
"403",1,2018-08-31,0,5,16
"404",37,2017-12-01,0,5,10
"405",37,2017-11-13,0,5,12
"406",161,2018-11-20,0,5,10
"407",12,2018-01-26,0,5,12
"408",44,2018-08-06,0,5,10
"409",44,2018-01-17,0,5,12
"410",97,2018-08-14,0,5,14
"411",37,2017-07-30,550,5,12
"412",37,2017-10-14,0,5,13
"413",31,2018-03-04,0,5,12
"414",129,2017-12-07,0,5,13
"415",106,2017-10-12,0,5,13
"416",34,2018-11-09,0,5,11
"417",8,2017-12-20,0,5,10
"418",153,2018-12-03,0,5,14
"419",129,2017-12-16,0,5,13
"420",151,2018-10-22,0,5,16
"421",141,2017-08-22,0,5,12
"422",65,2017-10-29,0,5,10
"423",44,2018-05-19,0,5,16
"424",164,2017-12-04,0,5,12
"425",141,2017-07-11,0,5,14
"426",90,2017-10-09,0,5,15
"427",167,2018-10-13,0,5,13
"428",117,2018-09-30,0,5,10
"429",15,2018-12-22,0,5,13
"430",168,2018-07-04,0,5,10
"431",153,2017-12-01,0,5,11
"432",169,2017-09-01,0,5,12
"433",65,2017-08-08,0,5,12
"434",142,2018-01-03,0,5,14
"435",21,2018-09-06,0,5,13
"436",152,2017-10-30,400,5,13
"437",37,2017-07-21,0,5,11
"438",1,2018-11-15,0,5,11
"439",36,2018-03-30,0,5,10
"440",171,2017-10-21,0,5,11
"441",172,2018-11-14,500,5,14
"442",27,2017-10-23,0,5,12
"443",11,2018-01-23,0,5,15
"444",106,2017-10-31,0,5,13
"445",55,2018-04-03,0,5,11
"446",44,2018-04-08,0,5,15
"447",140,2018-06-12,0,5,13
"448",119,2018-09-18,0,5,11
"449",43,2017-11-30,0,5,10
"450",36,2018-01-29,300,5,13
"451",174,2018-01-21,0,5,16
"452",42,2018-08-16,0,5,12
"453",34,2018-12-05,0,5,14
"454",175,2018-12-26,500,5,10
"455",131,2017-09-24,0,5,14
"456",60,2018-09-27,0,5,12
"457",176,2018-01-25,0,5,14
